nom_dept,nom_station,code_station,nom_poll,valeur,unite,date_debut,x_l93,y_l93,longitude,latitude,date_formatee,Emplacement
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NOX,6.2,ug.m-3,2023-11-25 14:00:00,771642,6277340,3.8868845925806363,43.59149596381382,25/11/2023 14:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,7.7,ug.m-3,2023-11-25 05:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 05:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,16.4,ug.m-3,2023-11-25 06:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 06:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,15.5,ug.m-3,2023-11-25 07:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 07:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,23.3,ug.m-3,2023-11-25 08:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 08:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,13.0,ug.m-3,2023-11-25 09:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 09:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,8.1,ug.m-3,2023-11-25 10:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 10:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,8.1,ug.m-3,2023-11-25 11:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 11:00,Montpellier
HERAULT,Montpellier - Chaptal Urbain,FR50201,NOX,13.3,ug.m-3,2023-11-25 14:00:00,769827,6279565,3.8647194347650875,43.61169562597388,25/11/2023 14:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,28.3,ug.m-3,2023-11-24 10:00:00,766867,6279519,3.8280603367065766,43.611567228152744,24/11/2023 10:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,26.2,ug.m-3,2023-11-24 11:00:00,766867,6279519,3.8280603367065766,43.611567228152744,24/11/2023 11:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,36.2,ug.m-3,2023-11-24 12:00:00,766867,6279519,3.8280603367065766,43.611567228152744,24/11/2023 12:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,43.0,ug.m-3,2023-11-24 13:00:00,766867,6279519,3.8280603367065766,43.611567228152744,24/11/2023 13:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,36.1,ug.m-3,2023-11-24 14:00:00,766867,6279519,3.8280603367065766,43.611567228152744,24/11/2023 14:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,94.6,ug.m-3,2023-11-25 10:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 10:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,30.2,ug.m-3,2023-11-25 11:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 11:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,33.1,ug.m-3,2023-11-25 12:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 12:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,21.4,ug.m-3,2023-11-25 13:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 13:00,Montpellier
HERAULT,Montpellier Liberte Trafic,FR50225,NOX,34.0,ug.m-3,2023-11-25 14:00:00,766867,6279519,3.8280603367065766,43.611567228152744,25/11/2023 14:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,65.3,ug.m-3,2023-11-24 09:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 09:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,47.5,ug.m-3,2023-11-24 10:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 10:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,33.5,ug.m-3,2023-11-24 12:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 12:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,29.7,ug.m-3,2023-11-24 13:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 13:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,30.4,ug.m-3,2023-11-24 15:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 15:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,46.4,ug.m-3,2023-11-24 16:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 16:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,33.1,ug.m-3,2023-11-24 17:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 17:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,63.8,ug.m-3,2023-11-24 18:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 18:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,40.3,ug.m-3,2023-11-24 19:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 19:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,30.5,ug.m-3,2023-11-24 20:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 20:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,33.3,ug.m-3,2023-11-24 21:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 21:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,41.3,ug.m-3,2023-11-25 09:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 09:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,17.5,ug.m-3,2023-11-25 10:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 10:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,18.3,ug.m-3,2023-11-25 11:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 11:00,Montpellier
HERAULT,Montpelier Antigone Trafic,FR50227,NOX,16.1,ug.m-3,2023-11-25 12:00:00,772335,6279271,3.895733938230752,43.60879891624091,25/11/2023 12:00,Montpellier
