nom_dept,nom_station,code_station,nom_poll,valeur,unite,date_debut,x_l93,y_l93,longitude,latitude,date_formatee
GARD,Nîmes Sud - Urbain,FR50211,NO2,4.2,ug.m-3,2023-11-25 09:00:00,810536,6304894,4.374224773869939,43.834400564624836,25/11/2023 09:00
GARD,Nîmes Sud - Urbain,FR50211,NO2,4.1,ug.m-3,2023-11-25 10:00:00,810536,6304894,4.374224773869939,43.834400564624836,25/11/2023 10:00
GARD,Ales Vauban fond,FR50801,NO2,2.0,ug.m-3,2023-11-25 05:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 05:00
GARD,Ales Vauban fond,FR50801,NO2,3.0,ug.m-3,2023-11-25 13:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 13:00
GARD,Ales Vauban fond,FR50801,NO2,3.0,ug.m-3,2023-11-25 14:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 14:00
GARD,Ales Vauban fond,FR50801,NO2,3.2,ug.m-3,2023-11-25 15:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 15:00
GARD,Nîmes Sud - Urbain,FR50211,NO2,4.5,ug.m-3,2023-11-25 19:00:00,810536,6304894,4.374224773869939,43.834400564624836,25/11/2023 19:00
GARD,Nîmes Sud - Urbain,FR50211,PM10,7.1,ug.m-3,2023-11-25 16:00:00,810536,6304894,4.374224773869939,43.834400564624836,25/11/2023 16:00
GARD,Nîmes - Planas - Trafic,FR50212,PM10,6.4,ug.m-3,2023-11-25 16:00:00,809561,6304377,4.361994770007604,43.829900788446345,25/11/2023 16:00
GARD,Ales Vauban fond,FR50801,PM10,3.6,ug.m-3,2023-11-25 15:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 15:00
GARD,Ales Vauban fond,FR50801,PM10,3.5,ug.m-3,2023-11-25 16:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 16:00
GARD,Nîmes Sud - Urbain,FR50211,PM2.5,4.2,ug.m-3,2023-11-25 16:00:00,810536,6304894,4.374224773869939,43.834400564624836,25/11/2023 16:00
GARD,Ales Vauban fond,FR50801,NO,0.7,ug.m-3,2023-11-25 16:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 16:00
GARD,Nîmes - Planas - Trafic,FR50212,NO2,5.1,ug.m-3,2023-11-25 05:00:00,809561,6304377,4.361994770007604,43.829900788446345,25/11/2023 05:00
GARD,Nîmes - Planas - Trafic,FR50212,NO2,19.9,ug.m-3,2023-11-25 16:00:00,809561,6304377,4.361994770007604,43.829900788446345,25/11/2023 16:00
GARD,Nîmes Sud - Urbain,FR50211,NO2,3.5,ug.m-3,2023-11-24 12:00:00,810536,6304894,4.374224773869939,43.834400564624836,24/11/2023 12:00
GARD,Nîmes Sud - Urbain,FR50211,NO2,6.5,ug.m-3,2023-11-25 16:00:00,810536,6304894,4.374224773869939,43.834400564624836,25/11/2023 16:00
GARD,Ales Vauban fond,FR50801,NO2,14.6,ug.m-3,2023-11-25 19:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 19:00
GARD,Nîmes - Planas - Trafic,FR50212,PM10,5.0,ug.m-3,2023-11-25 17:00:00,809561,6304377,4.361994770007604,43.829900788446345,25/11/2023 17:00
GARD,Nîmes Sud - Urbain,FR50211,PM10,6.9,ug.m-3,2023-11-25 17:00:00,810536,6304894,4.374224773869939,43.834400564624836,25/11/2023 17:00
GARD,Ales Vauban fond,FR50801,PM10,4.4,ug.m-3,2023-11-25 17:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 17:00
